question_id,status,first_used_bank_revision,retired_at,replacement_id,notes
DRONE-Q-000022,used,drone-second-class-v1-release-2026-08-20,,,VS-012; B1C E1 primary; DEEP_OBSERVED; permanent ID; pre-release
DRONE-Q-000023,used,drone-second-class-v1-release-2026-08-20,,,VS-013; B1C E2; DEEP_OBSERVED; permanent ID; pre-release
DRONE-Q-000024,used,drone-second-class-v1-release-2026-08-20,,,VS-014; B1C E1 alternate; DEEP_OBSERVED; permanent ID; pre-release
DRONE-Q-000025,used,drone-second-class-v1-release-2026-08-20,,,VS-020; B1C E3; DEEP_HELDOUT; permanent ID; pre-release
DRONE-Q-000026,used,drone-second-class-v1-release-2026-08-20,,,VS-023; B2A HB1 150m; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000027,used,drone-second-class-v1-release-2026-08-20,,,VS-030; B2A HB1 DID; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000028,used,drone-second-class-v1-release-2026-08-20,,,VS-024; B2A HB2 II-III; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000029,used,drone-second-class-v1-release-2026-08-20,,,VS-031; B2A HB2 IIA-IIB; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000030,used,drone-second-class-v1-release-2026-08-20,,,VS-025; B2A HB3 conditions; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000031,used,drone-second-class-v1-release-2026-08-20,,,VS-032; B2A HB3 towing; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000032,used,drone-second-class-v1-release-2026-08-20,,,VS-026; B2A HB4 storage; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000033,used,drone-second-class-v1-release-2026-08-20,,,VS-033; B2A HB4 replacement; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000034,used,drone-second-class-v1-release-2026-08-20,,,VS-034; B2B HB5 stress; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000035,used,drone-second-class-v1-release-2026-08-20,,,VS-028; B2B HB6 building-terrain; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000036,used,drone-second-class-v1-release-2026-08-20,,,VS-035; B2B HB6 gust; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000037,used,drone-second-class-v1-release-2026-08-20,,,VS-029; B2B HB7 observer; BREADTH_OBSERVED; permanent ID; pre-release
DRONE-Q-000038,used,drone-second-class-v1-release-2026-08-20,,,VS-036; B2B HB7 state; BREADTH_HELDOUT; permanent ID; pre-release
DRONE-Q-000039,used,drone-second-class-v1-release-2026-08-20,,,VS-041; B3A US-E clean sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000040,used,drone-second-class-v1-release-2026-08-20,,,VS-042; B3A US-F clean sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000041,used,drone-second-class-v1-release-2026-08-20,,,VS-037; B3B US-A routed sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000042,used,drone-second-class-v1-release-2026-08-20,,,VS-038; B3B US-B routed sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000043,used,drone-second-class-v1-release-2026-08-20,,,VS-040; B3B US-D routed sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000044,used,drone-second-class-v1-release-2026-08-20,,,VS-043; B3B US-G routed sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000045,used,drone-second-class-v1-release-2026-08-20,,,VS-044; B3B US-H routed sentinel; UNKNOWN_SENTINEL; permanent ID; pre-release
DRONE-Q-000046,used,drone-second-class-v1-release-2026-08-20,,,VS-045; B4 D1 COV-01; COVERAGE; permanent ID; pre-release
DRONE-Q-000047,used,drone-second-class-v1-release-2026-08-20,,,VS-046; B4 D1 COV-02; COVERAGE; permanent ID; pre-release
DRONE-Q-000048,used,drone-second-class-v1-release-2026-08-20,,,VS-047; B4 D1 COV-03; COVERAGE; permanent ID; pre-release
DRONE-Q-000049,used,drone-second-class-v1-release-2026-08-20,,,VS-048; B4 D1 COV-04; COVERAGE; permanent ID; pre-release
DRONE-Q-000050,used,drone-second-class-v1-release-2026-08-20,,,VS-049; B4 D1 COV-05; COVERAGE; permanent ID; pre-release
DRONE-Q-000051,used,drone-second-class-v1-release-2026-08-20,,,VS-050; B4 D1 COV-06; COVERAGE; permanent ID; pre-release
DRONE-Q-000052,used,drone-second-class-v1-release-2026-08-20,,,VS-051; B4 D1 COV-07; COVERAGE; permanent ID; pre-release
DRONE-Q-000053,used,drone-second-class-v1-release-2026-08-20,,,VS-052; B4 D1 COV-08; COVERAGE; permanent ID; pre-release
DRONE-Q-000054,used,drone-second-class-v1-release-2026-08-20,,,VS-053; B4 D1 COV-09; COVERAGE; permanent ID; pre-release
DRONE-Q-000055,used,drone-second-class-v1-release-2026-08-20,,,VS-054; B4 D1 COV-10; COVERAGE; permanent ID; pre-release
DRONE-Q-000056,used,drone-second-class-v1-release-2026-08-20,,,VS-055; B4 D1 COV-11; COVERAGE; permanent ID; pre-release
DRONE-Q-000057,used,drone-second-class-v1-release-2026-08-20,,,VS-056; B4 D1 COV-12; COVERAGE; permanent ID; pre-release
DRONE-Q-000058,used,drone-second-class-v1-release-2026-08-20,,,VS-057; B4 D1 COV-13; COVERAGE; permanent ID; pre-release
DRONE-Q-000059,used,drone-second-class-v1-release-2026-08-20,,,VS-058; B4 D1 COV-14; COVERAGE; permanent ID; pre-release
DRONE-Q-000060,used,drone-second-class-v1-release-2026-08-20,,,VS-059; B5 D2-A COV-15; COVERAGE; permanent ID; pre-release
DRONE-Q-000061,used,drone-second-class-v1-release-2026-08-20,,,VS-060; B5 D2-A COV-16; COVERAGE; permanent ID; pre-release
DRONE-Q-000062,used,drone-second-class-v1-release-2026-08-20,,,VS-061; B5 D2-A COV-17; COVERAGE; permanent ID; pre-release
DRONE-Q-000063,used,drone-second-class-v1-release-2026-08-20,,,VS-062; B5 D2-A COV-18; COVERAGE; permanent ID; pre-release
DRONE-Q-000064,used,drone-second-class-v1-release-2026-08-20,,,VS-063; B5 D2-A COV-19; COVERAGE; permanent ID; pre-release
DRONE-Q-000065,used,drone-second-class-v1-release-2026-08-20,,,VS-064; B5 D2-A COV-20; COVERAGE; permanent ID; pre-release
DRONE-Q-000066,used,drone-second-class-v1-release-2026-08-20,,,VS-065; B5 D2-A COV-21; COVERAGE; permanent ID; pre-release
DRONE-Q-000067,used,drone-second-class-v1-release-2026-08-20,,,VS-066; B5 D2-A COV-22; COVERAGE; permanent ID; pre-release
DRONE-Q-000068,used,drone-second-class-v1-release-2026-08-20,,,VS-067; B5 D2-A COV-23; COVERAGE; permanent ID; pre-release
DRONE-Q-000069,used,drone-second-class-v1-release-2026-08-20,,,VS-068; B5 D2-A COV-24; COVERAGE; permanent ID; pre-release
DRONE-Q-000070,used,drone-second-class-v1-release-2026-08-20,,,VS-070; B6 D2-B COV-26; COVERAGE; permanent ID; pre-release
DRONE-Q-000071,used,drone-second-class-v1-release-2026-08-20,,,VS-071; B6 D2-B COV-27; COVERAGE; permanent ID; pre-release
DRONE-Q-000072,used,drone-second-class-v1-release-2026-08-20,,,VS-072; B6 D2-B COV-28; COVERAGE; permanent ID; pre-release
DRONE-Q-000073,used,drone-second-class-v1-release-2026-08-20,,,VS-073; B6 D2-B COV-29; COVERAGE; permanent ID; pre-release
DRONE-Q-000074,used,drone-second-class-v1-release-2026-08-20,,,VS-074; B6 D2-B COV-30; COVERAGE; permanent ID; pre-release
DRONE-Q-000075,used,drone-second-class-v1-release-2026-08-20,,,VS-075; B6 D2-B COV-31; COVERAGE; permanent ID; pre-release
DRONE-Q-000076,used,drone-second-class-v1-release-2026-08-20,,,VS-076; B6 D2-B COV-32; COVERAGE; permanent ID; pre-release
DRONE-Q-000077,used,drone-second-class-v1-release-2026-08-20,,,VS-077; B6 D2-B COV-33; COVERAGE; permanent ID; pre-release
DRONE-Q-000078,used,drone-second-class-v1-release-2026-08-20,,,VS-078; B6 D2-B COV-34; COVERAGE; permanent ID; pre-release
DRONE-Q-000079,used,drone-second-class-v1-release-2026-08-20,,,VS-079; B6 D2-B COV-35; COVERAGE; permanent ID; pre-release
DRONE-Q-000080,used,drone-second-class-v1-release-2026-08-20,,,VS-080; B7 D3 COV-36; COVERAGE; permanent ID; pre-release
DRONE-Q-000081,used,drone-second-class-v1-release-2026-08-20,,,VS-081; B7 D3 COV-37; COVERAGE; permanent ID; pre-release
DRONE-Q-000082,used,drone-second-class-v1-release-2026-08-20,,,VS-082; B7 D3 COV-38; COVERAGE; permanent ID; pre-release
DRONE-Q-000083,used,drone-second-class-v1-release-2026-08-20,,,VS-083; B7 D3 COV-39; COVERAGE; permanent ID; pre-release
DRONE-Q-000084,used,drone-second-class-v1-release-2026-08-20,,,VS-084; B7 D3 COV-40; COVERAGE; permanent ID; pre-release
DRONE-Q-000085,used,drone-second-class-v1-release-2026-08-20,,,VS-085; B7 D3 COV-41; COVERAGE; permanent ID; pre-release
DRONE-Q-000086,used,drone-second-class-v1-release-2026-08-20,,,VS-086; B7 D3 COV-42; COVERAGE; permanent ID; pre-release
DRONE-Q-000087,used,drone-second-class-v1-release-2026-08-20,,,VS-087; B7 D3 COV-43; COVERAGE; permanent ID; pre-release
DRONE-Q-000088,used,drone-second-class-v1-release-2026-08-20,,,VS-088; B7 D3 COV-44; COVERAGE; permanent ID; pre-release
DRONE-Q-000089,used,drone-second-class-v1-release-2026-08-20,,,VS-089; B7 D3 COV-45; COVERAGE; permanent ID; pre-release
DRONE-Q-000090,used,drone-second-class-v1-release-2026-08-20,,,VS-090; B8 D4 COV-46; COVERAGE; permanent ID; pre-release
DRONE-Q-000091,used,drone-second-class-v1-release-2026-08-20,,,VS-091; B8 D4 COV-47; COVERAGE; permanent ID; pre-release
DRONE-Q-000092,used,drone-second-class-v1-release-2026-08-20,,,VS-092; B8 D4 COV-48; COVERAGE; permanent ID; pre-release
DRONE-Q-000093,used,drone-second-class-v1-release-2026-08-20,,,VS-093; B8 D4 COV-49; COVERAGE; permanent ID; pre-release
DRONE-Q-000094,used,drone-second-class-v1-release-2026-08-20,,,VS-094; B8 D4 COV-50; COVERAGE; permanent ID; pre-release
DRONE-Q-000095,used,drone-second-class-v1-release-2026-08-20,,,VS-095; B8 D4 COV-51; COVERAGE; permanent ID; pre-release
DRONE-Q-000096,used,drone-second-class-v1-release-2026-08-20,,,VS-096; B8 D4 COV-52; COVERAGE; permanent ID; pre-release
DRONE-Q-000097,used,drone-second-class-v1-release-2026-08-20,,,VS-097; B8 D4 COV-53; COVERAGE; permanent ID; pre-release
DRONE-Q-000098,used,drone-second-class-v1-release-2026-08-20,,,VS-098; B8 D4 COV-54; COVERAGE; permanent ID; pre-release
DRONE-Q-000099,used,drone-second-class-v1-release-2026-08-20,,,VS-099; B8 D4 COV-55; COVERAGE; permanent ID; pre-release
DRONE-Q-000100,used,drone-second-class-v1-release-2026-08-20,,,VS-100; B8 D4 COV-56; COVERAGE; permanent ID; pre-release
DRONE-Q-000101,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C001
DRONE-Q-000102,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C002
DRONE-Q-000103,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C003
DRONE-Q-000104,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C004
DRONE-Q-000105,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C005
DRONE-Q-000106,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C006
DRONE-Q-000107,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C007
DRONE-Q-000108,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C008
DRONE-Q-000109,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C009
DRONE-Q-000110,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C010
DRONE-Q-000111,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C011
DRONE-Q-000112,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C012
DRONE-Q-000113,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C013
DRONE-Q-000114,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C014
DRONE-Q-000115,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C015
DRONE-Q-000116,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C016
DRONE-Q-000117,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C023
DRONE-Q-000118,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B1-R-C024
DRONE-Q-000119,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C001
DRONE-Q-000120,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C002
DRONE-Q-000121,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C003
DRONE-Q-000122,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C004
DRONE-Q-000123,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C005
DRONE-Q-000124,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C007
DRONE-Q-000125,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C008
DRONE-Q-000126,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C009
DRONE-Q-000127,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C010
DRONE-Q-000128,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C011
DRONE-Q-000129,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C013
DRONE-Q-000130,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C014
DRONE-Q-000131,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C015
DRONE-Q-000132,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C016
DRONE-Q-000133,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C017
DRONE-Q-000134,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C018
DRONE-Q-000135,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C019
DRONE-Q-000136,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C020
DRONE-Q-000137,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C021
DRONE-Q-000138,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C022
DRONE-Q-000139,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C023
DRONE-Q-000140,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C024
DRONE-Q-000141,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B2-RM-C025
DRONE-Q-000142,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C001
DRONE-Q-000143,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C002
DRONE-Q-000144,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C003
DRONE-Q-000145,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C004
DRONE-Q-000146,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C005
DRONE-Q-000147,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C006
DRONE-Q-000148,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C007
DRONE-Q-000149,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C008
DRONE-Q-000150,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C009
DRONE-Q-000151,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C010
DRONE-Q-000152,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C011
DRONE-Q-000153,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C012
DRONE-Q-000154,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C013
DRONE-Q-000155,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C014
DRONE-Q-000156,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C017
DRONE-Q-000157,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C018
DRONE-Q-000158,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C019
DRONE-Q-000159,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C020
DRONE-Q-000160,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C021
DRONE-Q-000161,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C022
DRONE-Q-000162,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C023
DRONE-Q-000163,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C024
DRONE-Q-000164,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C025
DRONE-Q-000165,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C026
DRONE-Q-000166,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C027
DRONE-Q-000167,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C028
DRONE-Q-000168,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C029
DRONE-Q-000169,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B3-SYS-C030
DRONE-Q-000170,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C001
DRONE-Q-000171,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C002
DRONE-Q-000172,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C003
DRONE-Q-000173,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C004
DRONE-Q-000174,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C005
DRONE-Q-000175,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C006
DRONE-Q-000176,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C007
DRONE-Q-000177,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C008
DRONE-Q-000178,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C009
DRONE-Q-000179,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C010
DRONE-Q-000180,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C011
DRONE-Q-000181,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C012
DRONE-Q-000182,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C013
DRONE-Q-000183,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C014
DRONE-Q-000184,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C015
DRONE-Q-000185,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C017
DRONE-Q-000186,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C018
DRONE-Q-000187,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C019
DRONE-Q-000188,used,drone-second-class-v2-release-2026-08-24,,,Expansion pre-release allocation: B4-OPS-C020
DRONE-Q-000189,used,,,,Expansion pre-release allocation: B5-OPS-C001
DRONE-Q-000190,used,,,,Expansion pre-release allocation: B5-OPS-C002
DRONE-Q-000191,used,,,,Expansion pre-release allocation: B5-OPS-C003
DRONE-Q-000192,used,,,,Expansion pre-release allocation: B5-OPS-C004
DRONE-Q-000193,used,,,,Expansion pre-release allocation: B5-OPS-C005
DRONE-Q-000194,used,,,,Expansion pre-release allocation: B5-OPS-C006
DRONE-Q-000195,used,,,,Expansion pre-release allocation: B5-OPS-C007
DRONE-Q-000196,used,,,,Expansion pre-release allocation: B5-OPS-C008
DRONE-Q-000197,used,,,,Expansion pre-release allocation: B6-OPS-C001
DRONE-Q-000198,used,,,,Expansion pre-release allocation: B6-OPS-C002
DRONE-Q-000199,used,,,,Expansion pre-release allocation: B6-OPS-C003
DRONE-Q-000200,used,,,,Expansion pre-release allocation: B6-OPS-C004
DRONE-Q-000201,used,,,,Expansion pre-release allocation: B6-OPS-C005
DRONE-Q-000202,used,,,,Expansion pre-release allocation: B6-OPS-C006
DRONE-Q-000203,used,,,,Expansion pre-release allocation: B6-OPS-C007
DRONE-Q-000204,used,,,,Expansion pre-release allocation: B6-OPS-C008
DRONE-Q-000205,used,,,,Expansion pre-release allocation: B6-OPS-C009
DRONE-Q-000206,used,,,,Expansion pre-release allocation: B6-OPS-C010
DRONE-Q-000207,used,,,,Expansion pre-release allocation: B6-OPS-C011
DRONE-Q-000208,used,,,,Expansion pre-release allocation: B6-OPS-C012
DRONE-Q-000209,used,,,,Expansion pre-release allocation: B6-OPS-C013
DRONE-Q-000210,used,,,,Expansion pre-release allocation: B6-OPS-C014
DRONE-Q-000211,used,,,,Expansion pre-release allocation: B6-OPS-C016
DRONE-Q-000212,used,,,,Expansion pre-release allocation: B6-OPS-C017
DRONE-Q-000213,used,,,,Expansion pre-release allocation: B6-OPS-C018
DRONE-Q-000214,used,,,,Expansion pre-release allocation: B6-OPS-C019
DRONE-Q-000215,used,,,,Expansion pre-release allocation: B6-OPS-C020
DRONE-Q-000216,used,,,,Expansion pre-release allocation: B7-RULE-C001
DRONE-Q-000217,used,,,,Expansion pre-release allocation: B7-RULE-C002
DRONE-Q-000218,used,,,,Expansion pre-release allocation: B7-RULE-C003
DRONE-Q-000219,used,,,,Expansion pre-release allocation: B7-RULE-C004
DRONE-Q-000220,used,,,,Expansion pre-release allocation: B7-RULE-C005
DRONE-Q-000221,used,,,,Expansion pre-release allocation: B7-RULE-C006
DRONE-Q-000222,used,,,,Expansion pre-release allocation: B7-RULE-C007
DRONE-Q-000223,used,,,,Expansion pre-release allocation: B7-RULE-C008
DRONE-Q-000224,used,,,,Expansion pre-release allocation: B7-RULE-C009
DRONE-Q-000225,used,,,,Expansion pre-release allocation: B7-RULE-C010
DRONE-Q-000226,used,,,,Expansion pre-release allocation: B7-RULE-C011
DRONE-Q-000227,used,,,,Expansion pre-release allocation: B7-RULE-C012
DRONE-Q-000228,used,,,,Expansion pre-release allocation: B7-RULE-C013
DRONE-Q-000229,used,,,,Expansion pre-release allocation: B7-RULE-C014
DRONE-Q-000230,used,,,,Expansion pre-release allocation: B7-RULE-C015
DRONE-Q-000231,used,,,,Expansion pre-release allocation: B7-RULE-C016
DRONE-Q-000232,used,,,,Expansion pre-release allocation: B7-RULE-C017
DRONE-Q-000233,used,,,,Expansion pre-release allocation: B7-RULE-C018
DRONE-Q-000234,used,,,,Expansion pre-release allocation: B7-RULE-C019
DRONE-Q-000235,used,,,,Expansion pre-release allocation: B7-RULE-C020
DRONE-Q-000236,used,,,,Expansion pre-release allocation: B8-SYS-C001
DRONE-Q-000237,used,,,,Expansion pre-release allocation: B8-SYS-C002
DRONE-Q-000238,used,,,,Expansion pre-release allocation: B8-SYS-C003
DRONE-Q-000239,used,,,,Expansion pre-release allocation: B8-SYS-C004
DRONE-Q-000240,used,,,,Expansion pre-release allocation: B8-SYS-C005
DRONE-Q-000241,used,,,,Expansion pre-release allocation: B8-SYS-C006
DRONE-Q-000242,used,,,,Expansion pre-release allocation: B8-SYS-C007
DRONE-Q-000243,used,,,,Expansion pre-release allocation: B8-SYS-C008
DRONE-Q-000244,used,,,,Expansion pre-release allocation: B8-SYS-C009
